trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.2, 'e': 0.3715766910220457}",30,0,-50.12560141498878,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
101,False,"{'a': 0.2, 'e': 0.36787944117144233}",25,12,-13.744265135628941,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.2, 'e': 0.3642189795715233}",20,0,-11.887438036332652,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.3605949401730783}",30,10,-109.91467091194248,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",1
104,False,"{'a': 0.2, 'e': 0.3570069605691474}",25,15,13.855315846242158,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.2, 'e': 0.35345468195878016}",20,0,-35.70568675433751,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
106,False,"{'a': 0.2, 'e': 0.3499377491111553}",30,0,-47.90962751792428,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",1
107,False,"{'a': 0.2, 'e': 0.3464558103300574}",25,13,-32.44928214530119,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
108,False,"{'a': 0.2, 'e': 0.34300851741870664}",30,0,19.182127337727927,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.2, 'e': 0.3395955256449391}",25,1,-48.49161875840684,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 1}",1
110,False,"{'a': 0.2, 'e': 0.33621649370673334}",25,14,-72.11561669441728,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
111,False,"{'a': 0.2, 'e': 0.33287108369807955}",20,0,-73.50406934705569,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.2, 'e': 0.32955896107518906}",25,0,-16.592527444436094,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
113,False,"{'a': 0.2, 'e': 0.32627979462303947}",30,0,-27.82713293373532,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
114,False,"{'a': 0.2, 'e': 0.3230332564222529}",25,0,-99.3576279294424,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",1
115,False,"{'a': 0.2, 'e': 0.31981902181630384}",25,4,17.25019430738357,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.2, 'e': 0.31663676937905316}",30,0,7.90748352823529,"{0: 26, 1: 3, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.2, 'e': 0.3134861808826053}",25,0,-101.38983700063177,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
118,False,"{'a': 0.2, 'e': 0.31036694126548503}",25,7,-80.88335995607717,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
119,False,"{'a': 0.2, 'e': 0.30727873860113125}",25,10,14.351211700872524,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.3042212640667041}",25,0,-38.79840614587218,"{0: 20, 1: 4, 2: 0, 3: 0, 4: 1}",0
121,False,"{'a': 0.2, 'e': 0.30119421191220214}",25,3,30.80584628572431,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
